FILE_NAME,VARIABLE_NAME,VARIABLE_UNITS,TITLE,SOURCE,SUMMARY
WA_400m_Grav_Merge_v1_2016.ers,gravity_merged,um/s^2,WA State grid merge of Gravity data,Australian National Gravity Database (ANGD) and includes GA/GSWA gravity surveys which were acquired during 2013. Data over the marine region is sourced from the Geoscience Australia June 2009 offshore-onshore gravity grid which uses offshore data derived exclusively from satellite altimetry,"This grid combines onshore Spherical Cap Bouguer gravity anomalies with offshore Free-air anomalies for Western Australia. Data over the continental region has been gridded from the Australian National Gravity Database (ANGD) and includes GA/GSWA gravity surveys which were acquired during 2013. Data over the marine region is sourced from the Geoscience Australia June 2009 offshore-onshore gravity grid which uses offshore data derived exclusively from satellite altimetry. The horizontal datum and projection are GDA94 GEODETIC. The grid cell size is 0.00416666 degrees (approx 400 metres). The data are in units of micrometres per second squared (μms-2) which is equivalent to 0.1 milligals. The recommended reference for this grid is ""Geological Survey of Western Australia 2013 gravity merged 400m grid of Western Australia""."
WA_20m_Mag_Merge_v1_2014.ers,total_magnetic_intensity,nT,20 m magnetic merged grid of Western Australia,Federal and State government data sets acquired with a line spacing of 500 metres or less and over 1100 open file Company data sets at various line spacings,The grid combines merged magnetic anomaly data from onshore and offshore WA. It is generated from Federal and State government data sets acquired with a line spacing of 500 metres or less and over 1100 open file Company data sets at various line spacings. It also includes Menzies to Norseman multi-client data purchased by GSWA from CGG Australia (formerly Fugro Airborne Surveys). The Geoscience Australia magnetic grid of Australia V5 2010 (Milligan et al. 2010) has been used as a base reference grid and is also used to complete the background areas where closer spaced data are not available. The grid was created using the GridMerge program available commercially in the Intrepid software.
WA_40m_Mag_Merge_1VD_v1_2014.ers,first_vertical_deriv_tmi,nT/m,40 m magnetic 1VD merged grid of Western Australia,Federal and State government data sets acquired with a line spacing of 500 metres or less and over 1100 open file Company data sets at various line spacings,The grid combines merged magnetic anomaly data from onshore and offshore WA. It is generated from Federal and State government data sets acquired with a line spacing of 500 metres or less and over 1100 open file Company data sets at various line spacings. It also includes Menzies to Norseman multi-client data purchased by GSWA from CGG Australia (formerly Fugro Airborne Surveys). The Geoscience Australia magnetic grid of Australia V5 2010 (Milligan et al. 2010) has been used as a base reference grid and is also used to complete the background areas where closer spaced data are not available. The grid was created using the GridMerge program available commercially in the Intrepid software.
WA_40m_Mag_Merge_v1_2014.ers,total_magnetic_intensity,nT,40 m magnetic merged grid of Western Australia,Federal and State government data sets acquired with a line spacing of 500 metres or less and over 1100 open file Company data sets at various line spacings,The grid combines merged magnetic anomaly data from onshore and offshore WA. It is generated from Federal and State government data sets acquired with a line spacing of 500 metres or less and over 1100 open file Company data sets at various line spacings. It also includes Menzies to Norseman multi-client data purchased by GSWA from CGG Australia (formerly Fugro Airborne Surveys). The Geoscience Australia magnetic grid of Australia V5 2010 (Milligan et al. 2010) has been used as a base reference grid and is also used to complete the background areas where closer spaced data are not available. The grid was created using the GridMerge program available commercially in the Intrepid software.
WA_80m_Mag_Merge_1VD_v1_2014.ers,first_vertical_deriv_tmi,nT/m,80 m magnetic 1VD merged grid of Western Australia,Federal and State government data sets acquired with a line spacing of 500 metres or less and over 1100 open file Company data sets at various line spacings,The grid combines merged magnetic anomaly data from onshore and offshore WA. It is generated from Federal and State government data sets acquired with a line spacing of 500 metres or less and over 1100 open file Company data sets at various line spacings. It also includes Menzies to Norseman multi-client data purchased by GSWA from CGG Australia (formerly Fugro Airborne Surveys). The Geoscience Australia magnetic grid of Australia V5 2010 (Milligan et al. 2010) has been used as a base reference grid and is also used to complete the background areas where closer spaced data are not available. The grid was created using the GridMerge program available commercially in the Intrepid software.
WA_80m_Mag_Merge_RTP_v1_2014.ers,reduced_to_pole_tmi,nT,80 m magnetic RTP merged grid of Western Australia,Federal and State government data sets acquired with a line spacing of 500 metres or less and over 1100 open file Company data sets at various line spacings,The grid combines merged magnetic anomaly data from onshore and offshore WA. It is generated from Federal and State government data sets acquired with a line spacing of 500 metres or less and over 1100 open file Company data sets at various line spacings. It also includes Menzies to Norseman multi-client data purchased by GSWA from CGG Australia (formerly Fugro Airborne Surveys). The Geoscience Australia magnetic grid of Australia V5 2010 (Milligan et al. 2010) has been used as a base reference grid and is also used to complete the background areas where closer spaced data are not available. The grid was created using the GridMerge program available commercially in the Intrepid software.
WA_80m_Mag_Merge_v1_2014.ers,total_magnetic_intensity,nT,80 m magnetic merged grid of Western Australia,Federal and State government data sets acquired with a line spacing of 500 metres or less and over 1100 open file Company data sets at various line spacings,The grid combines merged magnetic anomaly data from onshore and offshore WA. It is generated from Federal and State government data sets acquired with a line spacing of 500 metres or less and over 1100 open file Company data sets at various line spacings. It also includes Menzies to Norseman multi-client data purchased by GSWA from CGG Australia (formerly Fugro Airborne Surveys). The Geoscience Australia magnetic grid of Australia V5 2010 (Milligan et al. 2010) has been used as a base reference grid and is also used to complete the background areas where closer spaced data are not available. The grid was created using the GridMerge program available commercially in the Intrepid software.
WA_80m_K_Merge_v1_2014.ers,percentage_potassium,%,WA State grid merge of Radiometric data,Federal and State government data sets acquired with a line spacing of 500 metres or less and selected open file Company data sets at various line spacings.,"These grids combine merged radiometric data from WA. They are generated from Federal and State government data sets acquired with a line spacing of 500 metres or less and selected open file Company data sets at various line spacings. The ""Geoscience Australia radiometric map of Australia” (radmap10) grids have been used as base reference grids and are also used to complete the background areas where closer spaced data are not available. The grids were generated using a program called Gridmerge which was originally developed within Geoscience Australia and is available commercially in the Intrepid software. Grid files are supplied in ERMapper format. The horizontal datum and projection are GDA94 GEODETIC. The grid cell size is 0.000833333 degrees (approx 80 metres)."
WA_80m_TC_Merge_v1_2014.ers,dose_rate,nGy/hr,WA State grid merge of Radiometric data,Federal and State government data sets acquired with a line spacing of 500 metres or less and selected open file Company data sets at various line spacings.,"These grids combine merged radiometric data from WA. They are generated from Federal and State government data sets acquired with a line spacing of 500 metres or less and selected open file Company data sets at various line spacings. The ""Geoscience Australia radiometric map of Australia” (radmap10) grids have been used as base reference grids and are also used to complete the background areas where closer spaced data are not available. The grids were generated using a program called Gridmerge which was originally developed within Geoscience Australia and is available commercially in the Intrepid software. Grid files are supplied in ERMapper format. The horizontal datum and projection are GDA94 GEODETIC. The grid cell size is 0.000833333 degrees (approx 80 metres)."
WA_80m_Th_Merge_v1_2014.ers,thorium_ppm,ppm,WA State grid merge of Radiometric data,Federal and State government data sets acquired with a line spacing of 500 metres or less and selected open file Company data sets at various line spacings.,"These grids combine merged radiometric data from WA. They are generated from Federal and State government data sets acquired with a line spacing of 500 metres or less and selected open file Company data sets at various line spacings. The ""Geoscience Australia radiometric map of Australia” (radmap10) grids have been used as base reference grids and are also used to complete the background areas where closer spaced data are not available. The grids were generated using a program called Gridmerge which was originally developed within Geoscience Australia and is available commercially in the Intrepid software. Grid files are supplied in ERMapper format. The horizontal datum and projection are GDA94 GEODETIC. The grid cell size is 0.000833333 degrees (approx 80 metres)."
